externalId,bidNumber,title,organisation,status,sourceStatus,province,location,tenderType,cidbGrade,cidbClass,publishedDate,closingDate,briefingDate,estimatedValue,contactName,contactEmail,contactPhone,documents,documentUrls,sourceUrl
CIDB-CIDB-004-2627,CIDB 004 2627,"Appointment of a service provider for electrical infrastructure upgrade project: supply and install a 1250 KVA transformer, removal of existing transformer, DB rewiring, lighting and small power rectification, earthing…",Construction Industry Development Board,AWARDED,Awarded,Gauteng,,Works,,,2026-06-01T17:35:25.000Z,,,,,,,3,https://www.cidb.org.za/wp-content/tender-uploads/cidb-004-2627-tender-document-transformer-maintenance-tender.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-004-26-27-bid-opening-register--supply-install-1250-kva-transformer-removal-of-existing-transformer.pdf; https://www.cidb.org.za/wp-content/uploads/2026/06/Annexure-B-Transformer-and-Electrical-Installations-Unpriced-BOQ.xlsx,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-005-2627,CIDB 005 2627,"Appointment of a service provider to supply, install and maintain SD-WAN with managed firewalls, unified communication platform (uCaaS) and domains management for a period of 36 months.",Construction Industry Development Board,AWARDED,Awarded,,,Supply,,,2026-05-29T17:48:06.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-005-2627-tender-document-sdwan-voip-ucaas.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no-01-cidb-005-2627.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-005-26-27-bid-opening-register--install-and-maintain-sdwan.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-005-2627-msa-draft.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-002-2627,CIDB 002 2627,Appointment of a service provider to conduct a cidb Small and Medium Enterprise Business Conditions Survey,Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2026-05-29T17:42:03.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-002-2627-tender-cidb-small-and-medium-enterprise-business-conditions-survey.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-002-26-27-bid-opening-register--conduct-a-cidb-small-and-medium-enterprise-business-conditions-survey.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-002-2627-msa-draft.pdf; https://www.cidb.org.za/wp-content/uploads/2026/06/annexure-b-cidb-pricing-schedule-cidb-002-2627.xlsx,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-017-2526,CIDB 017 2526,"Appointment of a service provider to render comprehensive and professional cleaning and hygiene, pest control and waste management services to nine (9) cidb offices for a period of three (3) years",Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2026-03-31T16:59:17.000Z,,,,,,,7,https://www.cidb.org.za/wp-content/tender-uploads/cidb-017-2526-provision-of-professional-cleaning-services.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no-1-cidb-017-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-017-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-017-2526-msa-draft.pdf; https://www.cidb.org.za/wp-content/uploads/2026/04/Pricing-template-cidb-017-2526.xlsx; https://www.cidb.org.za/wp-content/uploads/2026/05/addendum-no2-cidb-017-2526.pdf; https://www.cidb.org.za/wp-content/uploads/2026/05/addendum-no-3-cidb-017-2526.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-018-2526,CIDB 018 2526,"Appointment of a service provider for the supply, installation and maintenance of network cabling to nine (9) cidb offices for a period of three (3) years, as an when required basis",Construction Industry Development Board,AWARDED,Awarded,,,Supply,,,2026-03-31T16:49:26.000Z,,,,,,,6,https://www.cidb.org.za/wp-content/tender-uploads/cidb-018-2526-supply-installation-and-maintenance-of-network-cabling-for-a-period-of-36-months.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no1-cidb-018-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-018-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-018-2526-msa-draft.pdf; https://www.cidb.org.za/wp-content/uploads/2026/04/annexure-b-pricing-schedule-for-network-cabling.xlsx; https://www.cidb.org.za/wp-content/uploads/2026/05/addendum-no-02-cidb-018-2526.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-005-2526,CIDB 005 2526,Appointment of a service provider/s for the provision of general maintenance services to nine (9) cidb offices for a period of three (3) years,Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2026-03-31T16:43:55.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-005-2526-tender-document-general-maintenance-national-tender.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no-1-cidb-005-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-005-2526.pdf; https://www.cidb.org.za/wp-content/uploads/2026/04/annexure-a-unpriced-general-maintenance-national-version-2.xlsx%22,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-019-2526,CIDB 019 2526,Appointment of a service provider for supply and delivery of 150 all in one (AIO) computer desktops including a five-year onsite warranty,Construction Industry Development Board,AWARDED,Awarded,,,Supply,,,2026-03-31T16:42:23.000Z,,,,,,,5,https://www.cidb.org.za/wp-content/tender-uploads/supply-and-delivery-of-aio-desktops-finalv2.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no1-cidb-019-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-019-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0192526-msa-draft.pdf; https://www.cidb.org.za/wp-content/uploads/2026/05/addendum-no-02-cidb-019-2526.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-020-2526,CIDB 020 2526,"Appointment of a service provider for the maintenance of the HVAC system, for a period of three years at the cidb head office in Centurion",Construction Industry Development Board,AWARDED,Awarded,Gauteng,,Services,,,2026-03-31T16:41:57.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-020-2526-tender-document-hvac-maintenance-tender.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no-1-cidb-020-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bulk-bidders-template-cidb-020-2526.pdf; https://www.cidb.org.za/wp-content/uploads/2026/04/annexure-a-corrected-unpriced-cidb-centurion-hvac-maintenance-version-2.xlsx,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-012-2526,CIDB 012 2526,"Appointment of a contractor for the cleaning, repair and painting of external walls and fixtures at the cidb head office in Centurion",Construction Industry Development Board,AWARDED,Awarded,Gauteng,,Works,,,2026-03-27T16:51:28.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-012-2526-tender-document-painting-tender.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no-1-cidb-012-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-012-2526.pdf; https://www.cidb.org.za/wp-content/uploads/2026/04/annexure-a-corrected-unpriced-painting-boq-version-2.xlsx,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-014-2526,CIDB 014 2526,"Appointment of service provider for renewal, Maintenance and support of sage 300 people, Payroll, hr system and direct hire for a period of Three years",Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2025-12-18T13:20:13.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-014-2526-tender-document--maintenance-and-support-of-sage.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-02-appointment-of-service-provider-for-renewal-maintenance-and-support-of-sage-300-people-payroll.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-014-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0142526_-msa-draft.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-011-2526,CIDB 011 2526,Appointment of a forensic auditing firm to conduct independent quality assurance of Grade 7–9 contractor applications for a period of 12 months.,Construction Industry Development Board,AWARDED,Awarded,,,Consulting,7-9,,2025-11-11T16:25:49.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-011-2526-tender-document.pdf; https://www.cidb.org.za/wp-content/tender-uploads/addendum-no-1-cidb-011-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb-011-2526-bid-opening-certificate.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0112526_-msa-draft.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-010-2526,CIDB 010 2526,"Appointment of a service provider to review, update, and align the cidb standard for uniformity in construction procurement with the Public Procurement Act",Construction Industry Development Board,AWARDED,Awarded,,,Works,,,2025-10-24T12:17:55.000Z,,,,,,,3,https://www.cidb.org.za/wp-content/tender-uploads/cidb-010-2526-tender-document--review-update-and-aligning-the-cidb-standard-for-uniformity-in-construction-procurement-with-the-public-procurement-act-docx.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-bid-for-cidb-010-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0102526_-msa-draft-1.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-010-2526-2,CIDB 010 2526,"Appointment of a service provider to review, update, and align the cidb standard for uniformity in construction procurement with the Public Procurement Act",Construction Industry Development Board,OPEN,Open,,,Works,,,2025-10-24T12:17:31.000Z,,,,,,,2,https://www.cidb.org.za/wp-content/tender-uploads/cidb-010-2526-tender-document--review-update-and-aligning-the-cidb-standard-for-uniformity-in-construction-procurement-with-the-public-procurement-act-docx.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0102526_-msa-draft.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-008-2526,CIDB 008 2526,Appointment of a service provider to provide email marketing solutions to drive targeted messages and campaigns to both external and internal stakeholders and to provide support for a period of 36 months.,Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2025-09-19T12:22:39.000Z,,,,,,,3,https://www.cidb.org.za/wp-content/tender-uploads/cidb-008-2526-tender-document--email-marketing-solution.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-openig-email-marketing-solutions-to-drive-targeted-messages-and-campaigns-to-both-external-and-internal-stakeholders-and-to-provide-support-for-a-period-of-36-.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0082526_-msa-draft.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-007-2526,CIDB 007 2526,Appointment of service provider for maintenance and support of software applications for cidb for a period of three years,Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2025-06-26T16:38:50.000Z,,,,,,,3,https://www.cidb.org.za/wp-content/tender-uploads/cidb-007-2526-tender-document--maintenance-and-support-of-software-applications.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-007-2526-appointment-of-service-provider-for-maintenance-and-support-of-software-applications-for-cidb-for-a-period-of-three-years.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0072526_-msa-draft-(1).pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-004-2526,CIDB 004 2526,"Request for proposal for the purchase of suitable office accommodation for the cidb provincial office in Bloemfontein, Free State",Construction Industry Development Board,AWARDED,Awarded,Free State,,,,,2025-04-11T17:21:45.000Z,,,,,,,2,https://www.cidb.org.za/wp-content/tender-uploads/tender-document-purchase-of-office-accommodation-in-the-free-state-province--cidb-004-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/open-register-cidb0022526-provincial-office-in-bloemfontein.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-003-2526,CIDB 003 2526,"Request for proposal for the purchase of suitable office accommodation for the cidb provincial office in Nelspruit, Mpumalanga",Construction Industry Development Board,AWARDED,Awarded,Mpumalanga,,,,,2025-04-11T17:14:53.000Z,,,,,,,2,https://www.cidb.org.za/wp-content/tender-uploads/tender-document-purchase-of-office-accommodation-in-mpumalanga-province--cidb-003-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/open-register-cidb0032526-office-in-nelspruit.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-002-2526,CIDB 002 2526,"Request for proposal for the purchase of suitable office accommodation for the cidb provincial office in Durban, KwaZulu Natal",Construction Industry Development Board,AWARDED,Awarded,KwaZulu-Natal,,,,,2025-04-11T17:13:39.000Z,,,,,,,2,https://www.cidb.org.za/wp-content/tender-uploads/tender-document-purchase-of-office-accommodation-in-kwazulu-natal-province--cidb-002-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/open-register-cidb0022526-office-in-durban.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-001-2526,CIDB 001 2526,"Request for proposal for the purchase of suitable office accommodation for the cidb provincial office in East London, Eastern Cape",Construction Industry Development Board,AWARDED,Awarded,Eastern Cape,,,,,2025-04-11T17:11:53.000Z,,,,,,,2,https://www.cidb.org.za/wp-content/tender-uploads/tender-document-purchase-of-office-accommodation-in-the-eastern-cape-province--cidb-001-2526.pdf; https://www.cidb.org.za/wp-content/tender-uploads/open-register-cidb0012526-east-london.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-020-2425,CIDB 020 2425,Appointment of service provider to provide physical guarding and emergency response services for a period of 36,Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2024-12-13T16:35:05.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-020-2425--appointment-of-service-provider-for-provision-of-physical-guarding-and-emergency-response-services.pdf; https://www.cidb.org.za/wp-content/tender-uploads/briefing-note-1-_addendum-cidb-020-2425.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-for-appointment-of-a-service-provider-to-provide-physical-guarding-and-emergency-response-for-a-period-of-36-months.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0202425_-msa-draft.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-019-2425,CIDB 019 2425,Appointment of a panel of service providers to render software development and major enhancements for a period of 36 months,Construction Industry Development Board,AWARDED,Awarded,,,Services,,,2024-12-13T16:30:10.000Z,,,,,,,4,https://www.cidb.org.za/wp-content/tender-uploads/cidb-019-2425--panel-of-software-developers.pdf; https://www.cidb.org.za/wp-content/tender-uploads/briefing-note-1-_addendum-cidb-019-2425.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-appointment-of-a-panel-of-service-providers-to-render-software-development-and-major-enhancements-for-a-period-of-36-months-cidb0192425.pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0192425_-msa-draft.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-017-2425,CIDB 017 2425,Appointment of a professional short-term insurance broker to manage the short-term insurance portfolio of the construction industry development broad for a period of thirty six months.,Construction Industry Development Board,AWARDED,Awarded,,,Works,,,2024-12-13T16:28:43.000Z,,,,,,,3,https://www.cidb.org.za/wp-content/tender-uploads/cidb-017-2425-appointment-of-a-service-provider-to-render-short-term-insurance-brokerage-services.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-cidb-017-2425-appointment-of-a-professional-short-term-insurance-broker-to-manage-the-short-term-insurance-portfolio-of-the-construction-industry(1).pdf; https://www.cidb.org.za/wp-content/tender-uploads/cidb0172425_-msa-draft-1.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-016-2425,CIDB 016 2425,"Request for proposal for the purchase of suitable office accommodation for the cidb provincial office in Bloemfontein, Free State",Construction Industry Development Board,CLOSED,Closed,Free State,,,,,2024-12-13T16:27:08.000Z,,,,,,,2,https://www.cidb.org.za/wp-content/tender-uploads/cidb-016-2425-tender-document-purchase-of-office-accommodation-in-the-free-state-province.pdf; https://www.cidb.org.za/wp-content/tender-uploads/briefing-note-1-_addendum-cidb-016-2425.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-015-2425,CIDB 015 2425,"Request for proposal for the purchase of suitable office accommodation for the cidb provincial office in Durban, Kwa-Zulu Natal",Construction Industry Development Board,CLOSED,Closed,KwaZulu-Natal,,,,,2024-12-13T16:25:16.000Z,,,,,,,2,https://www.cidb.org.za/wp-content/tender-uploads/cidb-015-2425-tender-document-purchase-of-office-accommodation-in-the-kwa-zulu-natal-province.pdf; https://www.cidb.org.za/wp-content/tender-uploads/briefing-note-1-_addendum-cidb-015-2425.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
CIDB-CIDB-014-2425,CIDB 014 2425,"Request for proposal for the purchase of suitable office accommodation for the cidb provincial office in Nelspruit, Mpumalanga",Construction Industry Development Board,AWARDED,Awarded,Mpumalanga,,,,,2024-12-13T16:23:10.000Z,,,,,,,3,https://www.cidb.org.za/wp-content/tender-uploads/cidb-014-2425-tender-document-purchase-of-office-accommodation-in-the-mpumalanga-province.pdf; https://www.cidb.org.za/wp-content/tender-uploads/briefing-note-1-_addendum-cidb-014-2425.pdf; https://www.cidb.org.za/wp-content/tender-uploads/bid-opening-register-request-for-proposal-for-the-purchase-of-suitable-office-accommodation-for-the-cidb-provincial-office-in-nelspruit-mpumalanga_.pdf,https://www.cidb.org.za/cidb-tenders/current-tenders/
